Movie Title,Year,Score TOMATOMETER,Score AUDIENCE,Directors,Starring
Running Scared,1986,59%,58%,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,2002,40%,81%,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,2002,94%,87%,Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung Man-yuk, Donnie Yen"
Road House,1989,39%,66%,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,2010,87%,72%,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn"
Shaft,1971,87%,68%,Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi"
The Villainess,2017,85%,66%,Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung"
Highlander,1986,70%,79%,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,1990,69%,70%,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,2004,46%,76%,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector,2005,53%,76%,Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao"
Revenge,2017,93%,58%,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
El Mariachi,1992,91%,76%,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt"
A Touch of Zen,1971,97%,83%,King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao"
Top Gun,1986,58%,83%,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer"
Con Air,1997,58%,75%,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi"
The Expendables 2,2012,67%,67%,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
The Mummy,1999,61%,75%,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Mr. & Mrs. Smith,2005,59%,58%,Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody"
Rush Hour,1998,61%,78%,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña"
The Equalizer,2014,60%,76%,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
Captain America: Civil War,2016,90%,89%,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Air Force One,1997,79%,66%,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
Bloodsport,1988,46%,74%,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton"
Blade,1998,57%,78%,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
Bad Boys,1995,42%,78%,Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo"
Die Hard With a Vengeance,1995,59%,83%,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
The Running Man,1987,67%,60%,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto"
Code of Silence,1985,70%,51%,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese"
Shoot 'Em Up,2007,67%,65%,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon"
Crank,2006,62%,71%,Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez"
Machete,2010,71%,63%,Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal"
Drive,2011,93%,79%,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
Batman,1989,73%,84%,Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl"
Under Siege,1992,79%,62%,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak"
Independence Day,1996,67%,75%,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
Bullitt,1968,98%,85%,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon"
Wanted,2008,71%,69%,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp"
Superman: The Movie,1978,93%,86%,Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder"
Ronin,1998,69%,80%,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard"
They Live,1988,85%,79%,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower"
Cliffhanger,1993,67%,52%,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner"
Marvel's the Avengers,2012,91%,91%,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Hot Fuzz,2007,91%,89%,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine"
The Warriors,1979,88%,88%,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler"
Starship Troopers,1997,68%,70%,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
Elite Squad 2,2010,91%,91%,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held"
Point Break,1991,70%,79%,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
The Long Kiss Goodnight,1996,68%,70%,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko"
The Guest,2014,92%,69%,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley"
Taken,2008,59%,85%,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
300,2006,61%,89%,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
True Lies,1994,70%,76%,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
Demolition Man,1993,62%,66%,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"
Hardcore Henry,2015,51%,54%,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha"
Police Story,1985,93%,88%,Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung"
Brotherhood of the Wolf,2001,73%,78%,Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel"
Kingsman: The Secret Service,2014,75%,84%,Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson"
The Fifth Element,1997,71%,86%,Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich"
Big Trouble in Little China,1986,75%,82%,John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"
Atomic Blonde,2017,79%,64%,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman"
Rumble in the Bronx,1995,80%,65%,Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip"
District B13,2004,80%,78%,Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri"
Beverly Hills Cop,1984,83%,82%,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher"
Ong-Bak: The Thai Warrior,2003,85%,84%,Prachya Pinkaew,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai"
Collateral,2004,86%,84%,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo"
Iron Monkey,1993,91%,86%,Woo-Ping Yuen,"Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang"
Escape From New York,1981,86%,77%,John Carpenter,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef"
Battle Royale,2000,88%,89%,Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô"
Spider-Man 2,2004,93%,82%,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
13 Assassins,2010,95%,88%,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
Full Contact,1992,89%,72%,Ringo Lam,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang"
Indiana Jones and the Last Crusade,1989,88%,94%,Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"
Kung Fu Hustle,2004,90%,89%,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung"
A Better Tomorrow,1986,93%,89%,John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu"
Iron Man,2008,94%,91%,Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges"
The Night Comes for Us,2018,91%,83%,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
Logan,2017,94%,90%,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant"
Goldfinger,1964,99%,89%,Guy Hamilton,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton"
Assault on Precinct 13,1976,96%,80%,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West"
Wonder Woman,2017,93%,83%,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
The Chinese Connection,1972,83%,83%,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker"
Captain America: The Winter Soldier,2014,90%,92%,Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan"
Oldboy,2003,82%,94%,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han"
The French Connection,1971,96%,87%,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco"
Furious 7,2015,81%,82%,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez"
La Femme Nikita,1990,89%,84%,Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo, Jeanne Moreau"
Supercop,1992,92%,74%,Stanley Tong,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Ken Tsang"
Dirty Harry,1971,89%,90%,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch"
Edge of Tomorrow,2014,91%,90%,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton"
X2,2003,85%,85%,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry"
The Fugitive,1993,96%,89%,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
Black Panther,2018,96%,79%,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
Inception,2010,87%,91%,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy"
Braveheart,1995,74%,85%,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"
Minority Report,2002,90%,80%,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
Avengers: Endgame,2019,94%,90%,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Dredd,2012,79%,72%,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris"
The Bourne Identity,2002,84%,93%,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen"
Ip Man,2008,86%,93%,Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam"
Face/Off,1997,92%,82%,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
To Live and Die in L.A.,1985,85%,79%,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer"
The Dark Knight,2008,94%,94%,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Mission: Impossible -- Ghost Protocol,2011,93%,76%,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
Fast Five,2011,78%,83%,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson"
Lethal Weapon,1987,80%,86%,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan"
The Rock,1996,68%,85%,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
RoboCop,1987,91%,84%,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy"
John Wick: Chapter 2,2017,89%,85%,Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio"
Casino Royale,2006,94%,90%,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
Baby Driver,2017,92%,86%,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
Fist of Legend,1994,100%,92%,Gordon Chan,"Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata"
The Killer,1989,98%,92%,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang"
The Raid 2,2014,82%,87%,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
Enter the Dragon,1973,95%,91%,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri"
Commando,1985,67%,67%,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells"
First Blood,1982,86%,85%,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible Rogue Nation,2015,94%,87%,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson"
The Terminator,1984,100%,89%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,2000,79%,87%,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Vol. 1,2003,85%,81%,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen"
The Professional,1994,74%,95%,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,1994,94%,76%,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
Drunken Master II,1994,84%,88%,Chia-Liang Liu,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau"
John Wick,2014,86%,81%,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
"Crouching Tiger, Hidden Dragon",2000,97%,86%,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang"
Predator,1987,80%,87%,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo"
The Bourne Ultimatum,2007,92%,91%,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn"
Total Recall,1990,83%,79%,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Mad Max 2: The Road Warrior,1981,94%,86%,George Miller,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells"
Heat,1995,88%,94%,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,2011,87%,87%,Gareth Huw Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian"
Mission: Impossible -- Fallout,2018,97%,88%,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,1981,96%,96%,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Aliens,1986,98%,94%,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Hard-Boiled,1992,94%,92%,John Woo,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai"
The Matrix,1999,88%,85%,Andy Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Terminator 2: Judgment Day,1991,93%,95%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Die Hard,1988,94%,94%,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson"
Mad Max: Fury Road,2015,97%,86%,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne"
